time(ms),memory(MB),concurrency
448.5011100769043,36.6875,6
542.1421527862549,46.62890625,6
780.7433605194092,50.3359375,6
926.0976314544678,27.00390625,7
1032.6504707336426,37.01171875,7
979.867696762085,27.296875,7
1001.262903213501,31.1484375,7
1197.2312927246094,60.4921875,7
1188.0183219909668,60.4921875,7
1408.9035987854004,59.95703125,7
2045.8288192749023,40.3984375,8
1915.4510498046875,25.21875,8
2178.792715072632,56.921875,8
2192.466974258423,57.46875,8
1969.020128250122,45.015625,8
2263.051986694336,65.484375,8
2204.3185234069824,63.99609375,8
2541.0146713256836,72.98046875,8
5261.78240776062,48.40625,9
5317.065477371216,58.8515625,9
5315.391540527344,49.1328125,9
5338.700532913208,52.7890625,9
5435.394525527954,70.80078125,9
5169.193267822266,44.046875,9
5791.945219039917,78.6484375,9
5740.191221237183,37.78125,9
5628.591775894165,27.08203125,9
1168.0829524993896,46.859375,10
1135.814905166626,39.93359375,10
1345.6578254699707,72.62890625,10
956.2828540802002,28.515625,10
1358.5691452026367,71.1484375,10
1266.160488128662,31.484375,10
1205.8806419372559,28.12109375,10
1341.953992843628,35.58984375,10
1510.0488662719727,53.859375,10
1414.729356765747,39.16015625,10
67.86155700683594,9.21484375,1
138.4892463684082,17.67578125,2
145.78604698181152,17.8203125,2
707.8633308410645,23.2265625,3
656.5468311309814,22.5625,3
1157.1829319000244,26.8828125,3
1271.341323852539,23.20703125,4
1313.2538795471191,28.3125,4
1331.2442302703857,13.44140625,4
1437.6540184020996,26.23828125,4
858.600378036499,30.80859375,5
880.7194232940674,34.421875,5
904.4709205627441,40.984375,5
911.6897583007812,40.984375,5
1280.6644439697266,45.69921875,5
433.727502822876,32.734375,6
426.07712745666504,32.82421875,6
451.25484466552734,36.4375,6
531.3270092010498,46.92578125,6
532.9089164733887,49.296875,6
450.4241943359375,36.8671875,6
577.3851871490479,42.9921875,7
628.5114288330078,47.109375,7
548.6304759979248,47.1796875,7
509.96875762939453,41.76953125,7
724.9815464019775,60.09765625,7
690.3414726257324,55.5234375,7
905.7393074035645,58.8671875,7
1441.7541027069092,24.93359375,8
1489.4049167633057,28.98828125,8
1645.6177234649658,56.7890625,8
1488.0361557006836,33.10546875,8
1706.3651084899902,64.5078125,8
1662.8148555755615,59.9375,8
1509.5314979553223,37.1796875,8
2122.729778289795,73.20703125,8
850.3334522247314,24.18359375,9
2289.8800373077393,59.3046875,9
2123.0130195617676,32.421875,9
2290.6954288482666,58.5546875,9
2186.554431915283,40.71484375,9
2260.9517574310303,63.51171875,9
2382.6775550842285,73.19140625,9
2360.2294921875,72.0390625,9
2213.9034271240234,54.91015625,9
1343.120813369751,66.16015625,10
1387.3403072357178,71.65234375,10
1191.734790802002,45.31640625,10
1274.2054462432861,61.8515625,10
1334.6595764160156,62.0703125,10
1253.537893295288,23.15234375,10
1195.422649383545,18.99609375,10
1439.8164749145508,41.53515625,10
1432.4042797088623,42.03515625,10
1700.6661891937256,66.5703125,10
